id,name,email,age,score,active,category,timestamp
38,Gina Peters,aliamason@hammond.info,72,65.61,true,Sports,1044215087
39,Camron Ritchie,hubertmurphy@daniel.org,70,13.94,false,Garden,1302486226
40,Aida Larson,fredrickgislason@mann.name,57,56.32,true,Garden,991301988
41,Harmon Mason,roxanecraig@thiel.biz,23,53.62,false,Home,-1144995598
42,Cedrick Thompson,jaynegarza@rogers.net,18,61.97,true,Electronics,-1381558854
43,Anderson Fox,coltonkuhn@scott.org,56,1.90,true,Beauty,136396204
44,Christa Woods,alvavargas@goodwin.io,38,89.79,true,Home,-1576761801
45,Constantin Satterfield,abdulmarshall@robinson.io,77,94.88,false,Books,-1421761699
46,Hope Jacobs,hallerobertson@weaver.com,43,73.83,false,Food,20836755
47,Tomas Green,consuelobennett@duncan.info,67,92.27,true,Health,1105366764
48,Brandy Schuster,carriehanson@castillo.info,20,36.43,true,Toys,117127561
49,Ryan Gray,kennygregory@porter.org,54,9.26,false,Sports,-1273391279
50,Kenton Fletcher,maxwellbaldwin@velazquez.io,75,68.75,false,Beauty,572464999
51,Johnny Conroy,albahicks@manning.io,72,79.98,true,Clothing,740613095
52,Claudia Coleman,amosquigley@weaver.com,20,57.34,true,Sports,-2148859115
53,Alba Schwartz,frankaustin@stokes.info,32,24.17,true,Garden,61322089
54,Kristy Strong,calistamoore@elliott.net,74,58.59,false,Electronics,914160514
55,Darien Nash,jaidenbyrd@yost.net,55,84.30,true,Electronics,1708362262
56,Cruz Rutherford,quincysanders@stanley.io,20,31.67,false,Garden,48813178
57,Jerrold Garza,lizacarpenter@elliott.info,51,91.81,true,Health,-584377712
58,Luz Russell,dustinlarson@wilkinson.org,74,16.41,true,Sports,-1733882458
59,Elsa Hamilton,bulahgislason@schneider.com,80,17.97,false,Toys,-350504520
60,Gillian Graham,maceypayne@lopez.com,66,79.95,true,Books,-453188786
61,Lionel Barrows,joanycarroll@armstrong.net,36,7.42,false,Home,-359485467
62,Kareem Rosenbaum,robynrutherford@jimenez.net,73,65.32,false,Health,-456812253
63,Bret Rhodes,nealgarrett@daniel.org,38,16.53,true,Sports,-1172648165
64,Garth Whitney,alviszamora@pierce.org,76,32.87,true,Clothing,-862604284
65,Joanny Wyatt,maxconsidine@heller.com,74,57.27,false,Books,1666265448
66,Rocky Marshall,esperanzastevens@bernhard.info,27,31.78,true,Clothing,830952192
67,Myron Morgan,greggramos@johnston.org,28,27.28,true,Garden,-1931299398
68,Chance Dixon,petersoto@becker.org,39,16.14,false,Beauty,-1150734334
69,Reggie Hernandez,maddisonkim@glover.com,47,3.25,true,Beauty,-545669408
70,Gladys Hart,emorywu@klein.io,26,78.07,true,Electronics,583688440
71,Dixie Marvin,leannarodriguez@taylor.io,74,96.68,false,Books,-373939240
72,Zoey Patel,ritajacobi@casper.info,59,49.28,false,Beauty,-950368872
73,Cecilia Boyle,elliotgrant@deckow.org,50,90.26,false,Beauty,1227491054
74,Israel Valdez,carmellawilcox@jones.com,49,7.14,false,Beauty,-299475108
75,Josefina Foster,morgangarcia@ellis.net,42,86.68,false,Health,974924694
76,Justice Lucas,kendrickjimenez@patel.net,19,6.10,true,Home,625530195
77,Desmond Richardson,mollycook@richardson.biz,50,80.01,true,Garden,-1084757032
78,Cora Webb,bulahvargas@cormier.biz,77,12.12,true,Books,-1063004852
79,Clifford Wilcox,clementinaquinn@ortega.com,62,36.54,false,Clothing,-1300737445
80,Herbert Young,annabelvasquez@mertz.io,31,96.58,false,Sports,-1517741768
81,Jennie Satterfield,bettyrutherford@lind.org,71,60.36,false,Beauty,-1745211734
82,Rowan Tucker,jessyfrazier@newman.name,43,66.21,false,Electronics,-1025873769
83,Archibald Berry,sophiahammond@guzman.biz,22,70.38,false,Books,-1364357027
84,April Donnelly,katheryngray@fuller.info,33,57.89,false,Clothing,-546480546
85,Arielle Carter,mauriceraynor@crawford.name,68,99.70,false,Sports,-1276858054
86,Kaia Ward,robbmonahan@joseph.net,70,83.28,false,Garden,369795790
87,Adrain Cronin,adrainparker@gerhold.info,68,39.89,false,Garden,1623518983
88,Abigail McClure,bettynewton@chen.name,75,79.32,false,Electronics,-2069186375
89,Logan Robertson,cortezschmidt@wilkins.info,55,14.73,false,Food,-1464113226
90,Christian Kim,clintonlang@rutherford.org,76,52.99,false,Sports,1733686718
91,Edmond Ortega,bridgetbarker@roberts.name,78,55.38,true,Clothing,-1992525308
92,Billy Abshire,frankwilson@willis.io,55,3.15,false,Clothing,1323202175
93,Jakob Goldner,dariosummers@padilla.info,59,15.59,false,Sports,-1074335863
94,Dante Herman,alflee@bernhard.name,53,75.80,false,Clothing,712124770
95,Garrison Goodwin,dariensingleton@mills.io,37,92.96,false,Beauty,-196752650
96,Chet McClure,dawnwalton@thomas.info,49,19.72,false,Toys,1066869107
97,Chadd Mitchell,patiencehart@nash.io,77,42.30,true,Beauty,532182269
98,Chanel Knight,jadenjimenez@clayton.com,66,21.58,false,Sports,-999299434
99,Garrett McKenzie,ernestbayer@hunter.biz,44,27.70,false,Beauty,1247507186
